               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.036415,            0.019984,           0.0055449,             0.73603,             0.66098,             0.73935,             0.36236,            0.035316,            0.015984,           0.0058641,            0.007129,            0.007129,            0.007129
                  89,            0.036436,            0.020081,           0.0054896,             0.79534,             0.65996,             0.75174,              0.3719,             0.03533,            0.016045,           0.0058485,            0.007096,            0.007096,            0.007096
                  90,            0.036805,            0.020132,           0.0054763,              0.7801,             0.65708,              0.7582,             0.37208,            0.035168,            0.015803,           0.0052549,            0.007063,            0.007063,            0.007063
                  91,            0.036287,            0.020147,           0.0056287,             0.75231,             0.65857,             0.73667,               0.367,            0.035267,            0.016024,           0.0053893,             0.00703,             0.00703,             0.00703
                  92,            0.036345,             0.02047,           0.0054671,             0.77554,             0.68204,             0.75427,             0.37698,            0.034742,            0.015907,            0.005314,            0.006997,            0.006997,            0.006997
                  93,            0.036117,            0.020192,           0.0053979,             0.77855,             0.69064,             0.75916,             0.38211,            0.034792,            0.015784,           0.0054557,            0.006964,            0.006964,            0.006964
                  94,            0.036559,            0.020367,            0.005408,             0.75595,             0.68233,             0.76524,             0.38167,            0.034695,            0.015877,           0.0049355,            0.006931,            0.006931,            0.006931
                  95,            0.036372,            0.020191,            0.005328,             0.75154,             0.67836,             0.75944,             0.38049,            0.034625,            0.015889,           0.0056421,            0.006898,            0.006898,            0.006898
                  96,            0.036177,            0.020172,           0.0052581,             0.77836,             0.65557,              0.7519,              0.3777,            0.035005,            0.016041,           0.0058196,            0.006865,            0.006865,            0.006865
                  97,            0.036169,            0.019885,           0.0053683,             0.73087,             0.69205,             0.75415,             0.37523,             0.03476,            0.015917,           0.0058085,            0.006832,            0.006832,            0.006832
                  98,            0.035956,            0.020444,           0.0053526,             0.76064,             0.68748,             0.77023,             0.38507,            0.034716,             0.01589,           0.0047427,            0.006799,            0.006799,            0.006799
                  99,            0.035817,            0.020122,           0.0052665,             0.72654,             0.69942,              0.7598,             0.37959,            0.034432,            0.015759,           0.0048733,            0.006766,            0.006766,            0.006766
                 100,            0.036097,            0.019931,           0.0052526,             0.76947,             0.66479,             0.76385,             0.37957,            0.034659,            0.015914,           0.0047222,            0.006733,            0.006733,            0.006733
                 101,             0.03584,            0.019739,           0.0051232,             0.75044,             0.67568,             0.76039,             0.37359,            0.034825,             0.01596,           0.0053629,              0.0067,              0.0067,              0.0067
                 102,            0.035923,            0.020113,           0.0051682,              0.7666,              0.6892,             0.76345,             0.37488,            0.035032,            0.015747,           0.0050235,            0.006667,            0.006667,            0.006667
                 103,            0.035662,            0.019545,           0.0049723,             0.76198,             0.67576,             0.75676,             0.37632,            0.034951,            0.015809,           0.0050663,            0.006634,            0.006634,            0.006634
                 104,            0.035773,            0.019953,           0.0048369,              0.7748,               0.689,             0.75769,             0.37892,            0.034999,            0.015927,            0.004909,            0.006601,            0.006601,            0.006601
                 105,            0.035771,            0.019918,           0.0052176,             0.79299,             0.68005,             0.76941,             0.38852,            0.034756,            0.015756,           0.0051761,            0.006568,            0.006568,            0.006568
                 106,            0.035408,            0.019884,           0.0047544,             0.77064,             0.67831,             0.76914,             0.38847,            0.034525,            0.015706,           0.0052012,            0.006535,            0.006535,            0.006535
                 107,            0.035508,            0.019989,           0.0051563,             0.79803,             0.67593,              0.7789,             0.38892,            0.034192,            0.015715,           0.0049904,            0.006502,            0.006502,            0.006502
                 108,            0.035594,            0.019982,           0.0050326,             0.74702,             0.69604,             0.76347,             0.38595,            0.034265,            0.015741,           0.0052735,            0.006469,            0.006469,            0.006469
                 109,            0.035074,            0.019656,           0.0050322,             0.74523,             0.70698,             0.76597,             0.38919,            0.034623,            0.015658,           0.0051007,            0.006436,            0.006436,            0.006436
                 110,             0.03515,            0.019734,           0.0047977,             0.78795,             0.68587,              0.7741,             0.39419,            0.034147,            0.015628,           0.0049362,            0.006403,            0.006403,            0.006403
                 111,            0.035306,            0.019428,           0.0049276,             0.75337,             0.70147,             0.77425,             0.39097,            0.034375,            0.015644,           0.0048237,             0.00637,             0.00637,             0.00637
                 112,            0.035024,            0.019659,             0.00481,             0.79077,             0.69297,             0.78394,             0.39816,            0.034308,             0.01558,           0.0048975,            0.006337,            0.006337,            0.006337
                 113,            0.035126,            0.019754,           0.0047071,             0.80751,             0.68893,               0.789,             0.39675,            0.033989,            0.015567,           0.0047709,            0.006304,            0.006304,            0.006304
                 114,            0.035138,            0.019459,           0.0048548,             0.75208,             0.72692,             0.79019,             0.40253,            0.033766,            0.015431,           0.0046294,            0.006271,            0.006271,            0.006271
                 115,            0.035089,            0.019477,           0.0046344,             0.76642,             0.71834,             0.78228,             0.40105,            0.033896,             0.01547,           0.0050906,            0.006238,            0.006238,            0.006238
                 116,            0.034844,            0.019854,           0.0047521,              0.7975,             0.68699,             0.78835,             0.40413,            0.034121,            0.015509,           0.0052695,            0.006205,            0.006205,            0.006205
                 117,            0.035039,            0.019641,           0.0045025,             0.78999,              0.6885,              0.7795,             0.39862,            0.034179,            0.015558,           0.0051133,            0.006172,            0.006172,            0.006172
                 118,              0.0348,            0.019714,           0.0046825,             0.78806,             0.69763,             0.77612,             0.39239,            0.034191,            0.015617,           0.0052576,            0.006139,            0.006139,            0.006139
                 119,            0.034897,            0.019183,           0.0045179,             0.73904,             0.71388,             0.77943,             0.39738,             0.03402,            0.015557,           0.0049489,            0.006106,            0.006106,            0.006106
                 120,            0.034739,            0.019416,           0.0042914,             0.77883,             0.70244,             0.78778,             0.40174,            0.034021,            0.015538,            0.004705,            0.006073,            0.006073,            0.006073
                 121,            0.034677,            0.019556,           0.0045364,             0.76444,             0.70704,              0.7824,             0.39911,            0.034065,            0.015536,           0.0045211,             0.00604,             0.00604,             0.00604
                 122,            0.034361,            0.019574,           0.0042746,             0.78576,             0.69126,             0.78461,             0.40204,            0.033964,            0.015496,           0.0046844,            0.006007,            0.006007,            0.006007
                 123,            0.034541,            0.019474,           0.0043917,             0.76844,             0.71923,             0.78698,             0.40115,            0.033898,             0.01558,           0.0048737,            0.005974,            0.005974,            0.005974
                 124,            0.034377,            0.019713,           0.0047565,             0.79227,             0.68908,             0.78126,              0.4005,            0.033909,            0.015588,           0.0050828,            0.005941,            0.005941,            0.005941
                 125,            0.034501,            0.019684,           0.0042487,             0.78908,               0.691,             0.77983,             0.39782,            0.034029,            0.015547,           0.0050223,            0.005908,            0.005908,            0.005908
                 126,            0.034482,            0.019282,           0.0041929,             0.79504,             0.68502,             0.78562,             0.40222,            0.033863,            0.015495,           0.0047846,            0.005875,            0.005875,            0.005875
                 127,            0.034482,            0.019479,           0.0044813,             0.78673,             0.71167,             0.79416,              0.4047,            0.033864,             0.01544,           0.0046599,            0.005842,            0.005842,            0.005842
                 128,            0.034209,            0.019114,           0.0044095,             0.77633,             0.72299,             0.79513,             0.40545,            0.033863,            0.015467,           0.0046207,            0.005809,            0.005809,            0.005809
                 129,            0.034252,            0.019438,           0.0042493,             0.77205,             0.71726,             0.79508,             0.40428,            0.033775,            0.015492,           0.0046614,            0.005776,            0.005776,            0.005776
                 130,             0.03418,            0.019187,           0.0041901,              0.7741,             0.72823,             0.79129,             0.40691,            0.033689,             0.01551,            0.004801,            0.005743,            0.005743,            0.005743
                 131,            0.034137,            0.019468,           0.0041248,             0.78003,             0.72487,             0.79558,             0.40486,            0.033654,            0.015546,           0.0046925,             0.00571,             0.00571,             0.00571
                 132,            0.034136,            0.019282,            0.004314,             0.80129,             0.71423,              0.8007,             0.40363,            0.033643,            0.015507,           0.0048175,            0.005677,            0.005677,            0.005677
                 133,            0.033943,            0.019318,           0.0040665,             0.78429,             0.70869,             0.79431,             0.40454,            0.033656,            0.015525,           0.0048599,            0.005644,            0.005644,            0.005644
                 134,            0.033963,            0.018814,           0.0044254,             0.79633,             0.70944,             0.80122,             0.40732,            0.033608,            0.015481,           0.0048632,            0.005611,            0.005611,            0.005611
                 135,            0.033969,            0.019011,           0.0041333,             0.77811,             0.71584,             0.79522,             0.40951,            0.033555,            0.015499,           0.0048724,            0.005578,            0.005578,            0.005578
                 136,            0.033851,             0.01879,           0.0044317,             0.79991,             0.70384,              0.7942,             0.40468,            0.033746,            0.015536,           0.0047445,            0.005545,            0.005545,            0.005545
                 137,            0.033822,            0.019119,           0.0040165,             0.77405,             0.72205,             0.80011,              0.4058,            0.033591,             0.01552,           0.0047292,            0.005512,            0.005512,            0.005512
                 138,            0.033702,             0.01927,           0.0040411,             0.79378,             0.71213,             0.79893,             0.40604,            0.033656,            0.015464,           0.0045885,            0.005479,            0.005479,            0.005479
                 139,             0.03401,             0.01888,            0.004121,             0.78433,             0.71973,             0.79516,             0.40582,            0.033795,            0.015509,           0.0047496,            0.005446,            0.005446,            0.005446
                 140,            0.033491,            0.018885,           0.0041269,             0.79172,             0.71206,             0.79287,             0.40484,            0.033721,            0.015509,           0.0049386,            0.005413,            0.005413,            0.005413
                 141,            0.033627,            0.019228,           0.0040618,             0.79812,             0.69111,             0.79386,             0.40653,            0.033734,            0.015514,           0.0049355,             0.00538,             0.00538,             0.00538
                 142,            0.033441,            0.018961,           0.0037713,             0.78514,             0.69116,             0.79001,             0.40957,             0.03368,            0.015469,           0.0049868,            0.005347,            0.005347,            0.005347
                 143,            0.033425,            0.019158,           0.0040513,             0.80444,              0.7143,             0.80207,             0.40918,            0.033768,             0.01543,           0.0050566,            0.005314,            0.005314,            0.005314
                 144,            0.033399,            0.018894,           0.0038877,              0.7906,              0.7007,             0.79554,             0.41116,            0.033611,            0.015428,           0.0050379,            0.005281,            0.005281,            0.005281
                 145,            0.033246,            0.018893,           0.0038897,             0.81462,             0.69075,             0.79529,             0.41052,            0.033636,            0.015412,           0.0049644,            0.005248,            0.005248,            0.005248
                 146,            0.033146,            0.018984,           0.0038163,             0.80283,             0.69353,             0.79605,             0.40961,            0.033596,            0.015409,           0.0050135,            0.005215,            0.005215,            0.005215
                 147,            0.033148,            0.018947,           0.0039838,             0.81458,             0.69235,             0.79622,             0.40889,            0.033639,            0.015429,           0.0050123,            0.005182,            0.005182,            0.005182
                 148,            0.033201,            0.018832,           0.0037432,             0.82251,             0.70387,             0.80165,             0.41111,             0.03356,            0.015397,            0.004722,            0.005149,            0.005149,            0.005149
                 149,            0.033192,            0.018705,           0.0037989,              0.8167,              0.6978,             0.79748,              0.4114,            0.033539,            0.015389,           0.0047651,            0.005116,            0.005116,            0.005116
                 150,            0.033231,            0.018832,            0.003986,             0.79556,             0.71308,             0.80338,             0.41276,              0.0336,            0.015393,            0.004915,            0.005083,            0.005083,            0.005083
                 151,            0.033052,            0.018649,           0.0038378,             0.79092,             0.71728,             0.80085,             0.41159,             0.03361,            0.015403,           0.0048449,             0.00505,             0.00505,             0.00505
                 152,            0.032967,            0.018508,           0.0037293,             0.78923,             0.70773,             0.80294,             0.41239,            0.033599,            0.015413,           0.0048007,            0.005017,            0.005017,            0.005017
                 153,             0.03303,            0.018688,           0.0037208,             0.79247,             0.70605,              0.8009,             0.40946,            0.033614,            0.015427,           0.0047759,            0.004984,            0.004984,            0.004984
                 154,            0.032832,            0.018618,           0.0035988,             0.78059,             0.71878,             0.80131,             0.41015,            0.033617,            0.015419,            0.004855,            0.004951,            0.004951,            0.004951
                 155,            0.032842,             0.01883,           0.0035388,              0.7696,             0.72526,             0.79844,             0.40992,            0.033626,            0.015432,            0.004784,            0.004918,            0.004918,            0.004918
                 156,            0.032728,            0.018844,           0.0037034,             0.76043,             0.73362,             0.80009,             0.41139,            0.033609,            0.015447,           0.0047026,            0.004885,            0.004885,            0.004885
                 157,            0.032696,            0.018963,           0.0034848,             0.76351,             0.73608,             0.80183,             0.41093,            0.033546,            0.015427,           0.0044921,            0.004852,            0.004852,            0.004852
                 158,            0.032687,             0.01853,           0.0036449,             0.75336,             0.74378,             0.80191,             0.41221,            0.033582,             0.01543,           0.0044711,            0.004819,            0.004819,            0.004819
                 159,            0.032652,            0.018466,           0.0038664,             0.77489,             0.72215,             0.80416,             0.41228,             0.03355,            0.015394,           0.0043758,            0.004786,            0.004786,            0.004786
